Pos: 19 	PosEnd: 40 	Length: 21 	MID: 128  	CHECKSUM: 11  	Content: [128, 71, 0, 83, 0, 89, 96, 100, 0, 102, 1, 98, 128, 91, 0, 92, 0, 190, 0, 0, 11]
Pos: 19 	PosEnd: 31 	Length: 12 	MID: 128  	CHECKSUM: 98  	Content: [128, 71, 0, 83, 0, 89, 96, 100, 0, 102, 1, 98]
Pos: 20 	PosEnd: 41 	Length: 21 	MID: 71  	CHECKSUM: 128  	Content: [71, 0, 83, 0, 89, 96, 100, 0, 102, 1, 98, 128, 91, 0, 92, 0, 190, 0, 0, 11, 128]
Pos: 20 	PosEnd: 32 	Length: 12 	MID: 71  	CHECKSUM: 128  	Content: [71, 0, 83, 0, 89, 96, 100, 0, 102, 1, 98, 128]
Pos: 27 	PosEnd: 44 	Length: 17 	MID: 0  	CHECKSUM: 92  	Content: [0, 102, 1, 98, 128, 91, 0, 92, 0, 190, 0, 0, 11, 128, 91, 0, 92]
Pos: 27 	PosEnd: 35 	Length: 8 	MID: 0  	CHECKSUM: 92  	Content: [0, 102, 1, 98, 128, 91, 0, 92]
Pos: 28 	PosEnd: 44 	Length: 16 	MID: 102  	CHECKSUM: 92  	Content: [102, 1, 98, 128, 91, 0, 92, 0, 190, 0, 0, 11, 128, 91, 0, 92]
Pos: 28 	PosEnd: 35 	Length: 7 	MID: 102  	CHECKSUM: 92  	Content: [102, 1, 98, 128, 91, 0, 92]
Pos: 31 	PosEnd: 40 	Length: 9 	MID: 128  	CHECKSUM: 11  	Content: [128, 91, 0, 92, 0, 190, 0, 0, 11]
Pos: 32 	PosEnd: 41 	Length: 9 	MID: 91  	CHECKSUM: 128  	Content: [91, 0, 92, 0, 190, 0, 0, 11, 128]
Pos: 33 	PosEnd: 42 	Length: 9 	MID: 0  	CHECKSUM: 91  	Content: [0, 92, 0, 190, 0, 0, 11, 128, 91]
Pos: 34 	PosEnd: 42 	Length: 8 	MID: 92  	CHECKSUM: 91  	Content: [92, 0, 190, 0, 0, 11, 128, 91]
Pos: 35 	PosEnd: 44 	Length: 9 	MID: 0  	CHECKSUM: 92  	Content: [0, 190, 0, 0, 11, 128, 91, 0, 92]
Pos: 36 	PosEnd: 44 	Length: 8 	MID: 190  	CHECKSUM: 92  	Content: [190, 0, 0, 11, 128, 91, 0, 92]
Pos: 37 	PosEnd: 46 	Length: 9 	MID: 0  	CHECKSUM: 190  	Content: [0, 0, 11, 128, 91, 0, 92, 0, 190]
Pos: 38 	PosEnd: 46 	Length: 8 	MID: 0  	CHECKSUM: 190  	Content: [0, 11, 128, 91, 0, 92, 0, 190]
Pos: 39 	PosEnd: 46 	Length: 7 	MID: 11  	CHECKSUM: 190  	Content: [11, 128, 91, 0, 92, 0, 190]
Pos: 40 	PosEnd: 59 	Length: 19 	MID: 128  	CHECKSUM: 110  	Content: [128, 91, 0, 92, 0, 190, 0, 0, 85, 96, 121, 0, 183, 0, 0, 184, 0, 0, 110]
Pos: 41 	PosEnd: 60 	Length: 19 	MID: 91  	CHECKSUM: 128  	Content: [91, 0, 92, 0, 190, 0, 0, 85, 96, 121, 0, 183, 0, 0, 184, 0, 0, 110, 128]
Pos: 59 	PosEnd: 73 	Length: 14 	MID: 128  	CHECKSUM: 24  	Content: [128, 105, 84, 108, 240, 110, 81, 168, 240, 0, 175, 72, 1, 24]
Pos: 59 	PosEnd: 67 	Length: 8 	MID: 128  	CHECKSUM: 168  	Content: [128, 105, 84, 108, 240, 110, 81, 168]
Pos: 60 	PosEnd: 74 	Length: 14 	MID: 105  	CHECKSUM: 128  	Content: [105, 84, 108, 240, 110, 81, 168, 240, 0, 175, 72, 1, 24, 128]
Pos: 67 	PosEnd: 82 	Length: 15 	MID: 240  	CHECKSUM: 11  	Content: [240, 0, 175, 72, 1, 24, 128, 91, 0, 92, 0, 190, 0, 0, 11]
Pos: 67 	PosEnd: 73 	Length: 6 	MID: 240  	CHECKSUM: 24  	Content: [240, 0, 175, 72, 1, 24]
Pos: 73 	PosEnd: 82 	Length: 9 	MID: 128  	CHECKSUM: 11  	Content: [128, 91, 0, 92, 0, 190, 0, 0, 11]
Pos: 74 	PosEnd: 83 	Length: 9 	MID: 91  	CHECKSUM: 128  	Content: [91, 0, 92, 0, 190, 0, 0, 11, 128]
Pos: 75 	PosEnd: 84 	Length: 9 	MID: 0  	CHECKSUM: 91  	Content: [0, 92, 0, 190, 0, 0, 11, 128, 91]
Pos: 76 	PosEnd: 84 	Length: 8 	MID: 92  	CHECKSUM: 91  	Content: [92, 0, 190, 0, 0, 11, 128, 91]
Pos: 77 	PosEnd: 86 	Length: 9 	MID: 0  	CHECKSUM: 92  	Content: [0, 190, 0, 0, 11, 128, 91, 0, 92]
Pos: 78 	PosEnd: 86 	Length: 8 	MID: 190  	CHECKSUM: 92  	Content: [190, 0, 0, 11, 128, 91, 0, 92]
Pos: 79 	PosEnd: 88 	Length: 9 	MID: 0  	CHECKSUM: 190  	Content: [0, 0, 11, 128, 91, 0, 92, 0, 190]
Pos: 80 	PosEnd: 88 	Length: 8 	MID: 0  	CHECKSUM: 190  	Content: [0, 11, 128, 91, 0, 92, 0, 190]
Pos: 81 	PosEnd: 88 	Length: 7 	MID: 11  	CHECKSUM: 190  	Content: [11, 128, 91, 0, 92, 0, 190]
Pos: 82 	PosEnd: 101 	Length: 19 	MID: 128  	CHECKSUM: 110  	Content: [128, 91, 0, 92, 0, 190, 0, 0, 85, 96, 121, 0, 183, 0, 0, 184, 0, 0, 110]
Pos: 83 	PosEnd: 102 	Length: 19 	MID: 91  	CHECKSUM: 128  	Content: [91, 0, 92, 0, 190, 0, 0, 85, 96, 121, 0, 183, 0, 0, 184, 0, 0, 110, 128]
Pos: 101 	PosEnd: 116 	Length: 15 	MID: 128  	CHECKSUM: 11  	Content: [128, 194, 2, 84, 34, 70, 128, 91, 0, 92, 0, 190, 0, 0, 11]
Pos: 101 	PosEnd: 107 	Length: 6 	MID: 128  	CHECKSUM: 70  	Content: [128, 194, 2, 84, 34, 70]
