WRONG_SUM! 03/08 13:08:46 SUM: 256  	[10]
WRONG_SUM! 03/08 13:08:46 SUM: 13  	[85, 96, 121, 0, 183, 44, 0, 184, 0, 0, 4, 128, 91, 0, 92, 12, 190, 37, 10]
WRONG_SUM! 03/08 13:08:46 SUM: 15  	[208, 128, 91, 0, 92, 11, 190, 33, 10]
WRONG_SUM! 03/08 13:08:46 SUM: 244  	[85, 96, 121, 0, 183, 44, 0, 184, 0, 0, 12, 128, 71, 0, 83, 0, 89, 96, 100, 64, 102, 0, 35, 128, 91, 0, 92, 10]
WRONG_SUM! 03/08 13:08:46 SUM: 33  	[190, 33, 10]
WRONG_SUM! 03/08 13:08:46 SUM: 6  	[214, 128, 86, 0, 182, 111, 113, 185, 0, 0, 219, 128, 91, 0, 92, 12, 190, 35, 10]
WRONG_SUM! 03/08 13:08:46 SUM: 11  	[85, 96, 121, 0, 183, 45, 0, 184, 0, 0, 8, 128, 105, 86, 108, 240, 110, 122, 168, 11, 1, 175, 212, 1, 69, 136, 49, 1, 151, 63, 255, 84, 0, 168, 20, 1, 96, 128, 91, 0, 92, 12, 190, 34, 10]
WRONG_SUM! 03/08 13:08:46 SUM: 9  	[211, 128, 244, 4, 0, 0, 0, 0, 245, 4, 113, 146, 143, 0, 253, 128, 91, 0, 92, 12, 190, 35, 10]
WRONG_SUM! 03/08 13:08:46 SUM: 8  	[85, 96, 121, 0, 183, 45, 0, 184, 0, 0, 8, 128, 194, 2, 84, 34, 70, 128, 91, 0, 92, 14, 190, 35, 10]
WRONG_SUM! 03/08 13:08:46 SUM: 12  	[208, 128, 91, 0, 92, 12, 190, 35, 10]
WRONG_SUM! 03/08 13:08:46 SUM: 8  	[85, 96, 121, 0, 183, 45, 0, 184, 0, 0, 8, 128, 91, 0, 92, 13, 190, 36, 10]
WRONG_SUM! 03/08 13:08:47 SUM: 7  	[208, 136, 49, 1, 151, 63, 255, 84, 0, 168, 20, 1, 96, 128, 91, 0, 92, 13, 190, 39, 10]
WRONG_SUM! 03/08 13:08:47 SUM: 8  	[85, 96, 121, 0, 183, 47, 0, 184, 0, 0, 1, 128, 91, 0, 92, 12, 190, 42, 10]
WRONG_SUM! 03/08 13:08:47 SUM: 7  	[203, 128, 91, 0, 92, 12, 190, 45, 10]
WRONG_SUM! 03/08 13:08:47 SUM: 8  	[85, 96, 121, 0, 183, 47, 0, 184, 0, 0, 252, 128, 71, 0, 83, 0, 89, 96, 100, 62, 102, 0, 37, 128, 91, 0, 92, 11, 190, 48, 10]
WRONG_SUM! 03/08 13:08:47 SUM: 8  	[198, 128, 91, 0, 92, 11, 190, 50, 10]
STATUS_OK 03/08 13:08:47 SUM: 10  	[85, 96, 121, 0, 183, 47, 0, 184, 0, 0, 248, 128, 105, 86, 108, 240, 110, 122, 168, 11, 1, 175, 214, 1, 67, 136, 49, 1, 151, 63, 255, 84, 0, 168, 22, 1, 94, 128, 91, 0, 92, 11, 190, 50, 10]
WRONG_SUM! 03/08 13:08:47 SUM: 5  	[196, 128, 91, 0, 92, 10]
WRONG_SUM! 03/08 13:08:47 SUM: 19  	[190, 47, 10]
WRONG_SUM! 03/08 13:08:47 SUM: 11  	[85, 96, 121, 0, 183, 46, 0, 184, 0, 0, 253, 128, 194, 2, 84, 34, 70, 128, 91, 0, 92, 12, 190, 44, 10]
WRONG_SUM! 03/08 13:08:47 SUM: 12  	[201, 128, 91, 0, 92, 11, 190, 43, 10]
WRONG_SUM! 03/08 13:08:47 SUM: 11  	[85, 96, 121, 0, 183, 46, 0, 184, 0, 0, 0, 128, 91, 0, 92, 12, 190, 41, 10]
