WRONG_SUM! 	30-07 20:02 	SUM: 145 	[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
WRONG_SUM! 	30-07 20:02 	SUM: 113 	[51, 0, 245, 73, 255, 143, 255]
WRONG_SUM! 	30-07 20:02 	SUM: 145 	[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
WRONG_SUM! 	30-07 20:03 	SUM: 235 	[145, 255, 59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174, 255, 73, 255, 51]
WRONG_SUM! 	30-07 20:03 	SUM: 145 	[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
WRONG_SUM! 	30-07 20:03 	SUM: 245 	[0, 174, 255, 73, 255, 51, 255, 39]
WRONG_SUM! 	30-07 20:03 	SUM: 245 	[174, 255, 73, 255, 51, 255, 39]
WRONG_SUM! 	30-07 20:03 	SUM: 183 	[255, 39, 47, 116, 142, 255, 131, 255, 35, 53, 217, 174, 255, 73, 255]
WRONG_SUM! 	30-07 20:03 	SUM: 83 	[142, 255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142]
WRONG_SUM! 	30-07 20:03 	SUM: 198 	[255, 131, 255, 35, 53, 217, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0]
WRONG_SUM! 	30-07 20:03 	SUM: 129 	[255, 131, 255, 35, 53, 217]
WRONG_SUM! 	30-07 20:03 	SUM: 3 	[53, 217, 174, 255, 73, 255, 143, 255, 145]
WRONG_SUM! 	30-07 20:03 	SUM: 145 	[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
WRONG_SUM! 	30-07 20:03 	SUM: 143 	[255, 85, 255, 175, 1, 67, 29, 0, 174, 255, 73, 255, 55, 255, 113, 255]
WRONG_SUM! 	30-07 20:03 	SUM: 71 	[55, 255, 113, 255, 179, 0, 142, 255, 131, 255, 123, 183, 174, 255, 73, 255, 143]
WRONG_SUM! 	30-07 20:03 	SUM: 145 	[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
WRONG_SUM! 	30-07 20:03 	SUM: 36 	[36, 255, 107, 142]
WRONG_SUM! 	30-07 20:03 	SUM: 83 	[142, 255, 131, 255, 89, 255, 217, 0, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0, 142]
WRONG_SUM! 	30-07 20:03 	SUM: 198 	[255, 131, 255, 89, 255, 217, 0, 174, 255, 73, 255, 143, 255, 145, 255, 59, 0]
WRONG_SUM! 	30-07 20:03 	SUM: 129 	[255, 131, 255, 89, 255, 217]
WRONG_SUM! 	30-07 20:03 	SUM: 145 	[59, 0, 142, 255, 131, 255, 85, 255, 175, 1, 67, 29, 0, 174]
WRONG_SUM! 	30-07 20:03 	SUM: 85 	[67, 29, 0, 174, 255, 73, 255, 77, 255, 161]
