WRONG_SUM! 31/07 14:17:30 SUM: 133  	[87, 187, 115, 192]
WRONG_SUM! 31/07 14:17:30 SUM: 232  	[255, 233, 192]
WRONG_SUM! 31/07 14:17:30 SUM: 233  	[191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:30 SUM: 232  	[255, 233, 224]
WRONG_SUM! 31/07 14:17:30 SUM: 62  	[85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:30 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:17:30 SUM: 66  	[85, 191, 13, 255, 145, 255, 143, 255, 163, 167, 86, 209, 96, 0, 213, 175, 192, 37, 0, 89, 255, 77, 191, 55, 255, 51, 253, 187]
WRONG_SUM! 31/07 14:17:30 SUM: 233  	[233, 192]
WRONG_SUM! 31/07 14:17:30 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:30 SUM: 122  	[63, 161, 171, 239, 0]
WRONG_SUM! 31/07 14:17:31 SUM: 232  	[255, 233, 192]
WRONG_SUM! 31/07 14:17:31 SUM: 192  	[85, 191, 143, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:31 SUM: 0  	[254]
WRONG_SUM! 31/07 14:17:31 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:17:31 SUM: 122  	[254, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:17:31 SUM: 182  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163, 255, 191, 191, 89, 16]
WRONG_SUM! 31/07 14:17:31 SUM: 232  	[255, 233, 224]
WRONG_SUM! 31/07 14:17:31 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:31 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:17:31 SUM: 77  	[85, 191, 13, 255, 145, 255, 143, 255, 163, 167, 214, 209, 96, 0, 213, 175, 192, 13, 0, 253, 254, 77, 191, 55, 255, 51, 253, 187]
WRONG_SUM! 31/07 14:17:31 SUM: 232  	[255, 233, 192]
WRONG_SUM! 31/07 14:17:31 SUM: 0  	[71]
WRONG_SUM! 31/07 14:17:31 SUM: 221  	[85, 107, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:31 SUM: 202  	[63, 241, 171, 239, 0]
WRONG_SUM! 31/07 14:17:32 SUM: 232  	[255, 233, 192]
WRONG_SUM! 31/07 14:17:32 SUM: 56  	[255, 21, 95, 180, 19, 254, 5]
WRONG_SUM! 31/07 14:17:32 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:32 SUM: 0  	[254]
WRONG_SUM! 31/07 14:17:32 SUM: 66  	[233, 224, 255, 254, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:17:32 SUM: 231  	[255, 255, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:32 SUM: 232  	[255, 233, 224]
WRONG_SUM! 31/07 14:17:32 SUM: 221  	[85, 107, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:32 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:17:32 SUM: 177  	[255, 191, 13, 255, 145, 255, 143, 255, 163, 58, 253, 209, 96, 0, 213, 175, 192, 13, 0, 255, 253, 255, 77, 191, 55, 255, 51, 253, 187]
WRONG_SUM! 31/07 14:17:32 SUM: 233  	[233, 192]
WRONG_SUM! 31/07 14:17:32 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:32 SUM: 55  	[252, 161, 171, 239, 0]
WRONG_SUM! 31/07 14:17:33 SUM: 232  	[255, 233, 192]
WRONG_SUM! 31/07 14:17:33 SUM: 0  	[85, 255, 143, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:17:33 SUM: 0  	[254]
WRONG_SUM! 31/07 14:17:33 SUM: 3  	[233, 224, 191, 255, 175, 192, 13, 0]
