STATUS_OK 07/08 13:51:54 SUM: 36  	[136, 84, 0, 36]
STATUS_OK 07/08 13:51:54 SUM: 137  	[128, 111, 200, 182, 1, 0, 185, 0, 0, 217, 136, 84, 0, 36, 128, 84, 0, 190, 0, 0, 85, 0, 91, 0, 92, 0, 187, 16, 14, 137]
STATUS_OK 07/08 13:51:55 SUM: 171  	[128, 183, 0, 0, 184, 0, 0, 102, 0, 171]
STATUS_OK 07/08 13:51:55 SUM: 98  	[136, 84, 0, 36, 128, 84, 0, 190, 0, 0, 85, 0, 91, 0, 92, 0, 98]
STATUS_OK 07/08 13:51:55 SUM: 127  	[128, 100, 0, 65, 253, 68, 200, 83, 0, 127]
STATUS_OK 07/08 13:51:55 SUM: 218  	[136, 84, 0, 36, 128, 84, 0, 190, 0, 0, 85, 0, 91, 0, 92, 0, 187, 192, 13, 218]
STATUS_OK 07/08 13:51:55 SUM: 17  	[128, 183, 0, 0, 184, 0, 0, 17]
WRONG_SUM! 07/08 13:51:55 SUM: 61  	[136, 84, 0, 36, 128, 84, 0, 190, 0, 0, 85, 0, 91, 0, 92, 0, 98, 136, 49, 1, 70, 136, 209, 1, 255, 167, 128, 175, 103, 1, 44, 53]
WRONG_SUM! 07/08 13:51:55 SUM: 67  	[48, 166, 70, 0, 71, 0, 89, 0, 93, 0, 106, 58, 75]
STATUS_OK 07/08 13:51:55 SUM: 179  	[136, 84, 0, 36, 128, 84, 0, 190, 0, 0, 85, 0, 91, 0, 92, 0, 187, 233, 11, 179]
STATUS_OK 07/08 13:51:55 SUM: 171  	[128, 183, 0, 0, 184, 0, 0, 102, 0, 171]
STATUS_OK 07/08 13:51:55 SUM: 98  	[136, 84, 0, 36, 128, 84, 0, 190, 0, 0, 85, 0, 91, 0, 92, 0, 98]
STATUS_OK 07/08 13:51:55 SUM: 34  	[128, 122, 0, 168, 2, 1, 172, 140, 1, 34]
WRONG_SUM! 07/08 13:51:55 SUM: 201  	[136, 84, 0, 36, 128, 84, 0, 190, 0, 0, 85, 0, 91, 0, 92, 0, 187, 222, 10]
WRONG_SUM! 07/08 13:51:55 SUM: 256  	[191]
STATUS_OK 07/08 13:51:55 SUM: 54  	[128, 183, 0, 0, 184, 0, 0, 110, 109, 54]
STATUS_OK 07/08 13:51:55 SUM: 98  	[136, 84, 0, 36, 128, 84, 0, 190, 0, 0, 85, 0, 91, 0, 92, 0, 98]
STATUS_OK 07/08 13:51:55 SUM: 202  	[128, 171, 27, 1, 244, 4, 0, 0, 0, 0, 245, 4, 193, 3, 58, 0, 202]
WRONG_SUM! 07/08 13:51:55 SUM: 60  	[136, 84, 0, 36, 136, 49, 1, 70, 128, 84, 0, 190, 0, 0, 85, 0, 91, 0, 92, 0, 187, 107, 10]
WRONG_SUM! 07/08 13:51:55 SUM: 158  	[50, 136, 209, 1, 255, 167, 136, 168, 250]
WRONG_SUM! 07/08 13:51:55 SUM: 189  	[0, 214, 128, 183, 0, 0, 184, 0, 0, 174, 123, 1, 108, 232, 147]
STATUS_OK 07/08 13:51:55 SUM: 233  	[136, 84, 0, 36, 128, 84, 0, 190, 0, 0, 85, 0, 91, 0, 92, 0, 121, 0, 233]
WRONG_SUM! 07/08 13:51:55 SUM: 107  	[136, 84, 0, 36, 128, 84, 0, 190, 0, 0, 85, 0, 91, 0, 92, 0, 187, 60, 10]
WRONG_SUM! 07/08 13:51:55 SUM: 104  	[97, 140, 65, 247, 70, 128, 168, 249, 0, 213, 128, 183, 0]
WRONG_SUM! 07/08 13:51:55 SUM: 226  	[0, 184, 0, 0, 102, 0, 171]
STATUS_OK 07/08 13:51:56 SUM: 98  	[136, 84, 0, 36, 128, 84, 0, 190, 0, 0, 85, 0, 91, 0, 92, 0, 98]
WRONG_SUM! 07/08 13:51:56 SUM: 256  	[128, 100, 1, 65, 252, 68, 200, 83, 0, 127, 146, 155, 12, 3, 196, 128, 146, 168, 252, 0, 202, 200, 168, 252, 0, 148, 136, 84, 0, 36, 128, 84]
WRONG_SUM! 07/08 13:51:56 SUM: 86  	[0, 190, 0, 0, 85, 0, 91, 0, 92, 0, 187, 37, 10]
WRONG_SUM! 07/08 13:51:56 SUM: 153  	[120, 128, 183, 0, 0, 184, 0, 0, 17]
WRONG_SUM! 07/08 13:51:56 SUM: 242  	[136, 84, 0, 36, 128, 84, 0, 190, 0, 0, 85, 0, 91, 0, 92, 0, 98, 136, 49, 1, 70, 136, 209, 1, 255, 167, 128, 175, 174, 1, 48, 166]
WRONG_SUM! 07/08 13:51:56 SUM: 25  	[70, 0, 71, 0, 89, 0, 93, 0, 106, 58, 101]
